STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
de l'Hôtel-de-Ville / Villeneuve,Le Plateau-Mont-Royal,45.5234808276069,-73.5873275623817,Marmier / St-Denis,Rosemont - La Petite-Patrie,45.5308049540793,-73.5983964800835,1745255560449,1745256030051
du Square Saint-Louis / Laval,Le Plateau-Mont-Royal,45.5160865242307,-73.570156325477,Roy / Saint-Laurent,Le Plateau-Mont-Royal,45.5156518219509,-73.575773900393,1745254232478,1745256170236
de la Commune / King,Ville-Marie,45.4975037533838,-73.5528445243835,Place du Commerce,Verdun,45.46714,-73.54259,1745255915089,1745257775763
Marché Jean-Talon (Casgrain / Shamrock),Rosemont - La Petite-Patrie,45.535190061635,-73.6154821515083,Métro Place-d'Armes (St-Urbain / Viger),Ville-Marie,45.5063863763071,-73.5596948862076,1745252867702,1745255156266
Métro Monk (Allard / Briand),Le Sud-Ouest,45.4513329184227,-73.5925090312958,Drummond / Ste-Catherine,Ville-Marie,45.4986167429328,-73.5741600394249,1745235468667,1745237056389
Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.5230264766351,-73.6018404364586,de l'Esplanade / Beaubien,Rosemont - La Petite-Patrie,45.5283998385823,-73.6119228601456,1745253309134,1745253528852
La Tour de Montréal (Pierre-de-Coubertin / Bennett),Mercier - Hochelaga-Maisonneuve,45.559705268059,-73.5515543818474,Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.559031065393,-73.5483035445213,1745244475000,1745244554875
du Parc-La Fontaine / Roy,Le Plateau-Mont-Royal,45.5231827906644,-73.5689087864193,Duluth  / St-Denis,Le Plateau-Mont-Royal,45.5206276060793,-73.5759490728378,1745253178747,1745253456113
Émile-Duployé / Rachel,Le Plateau-Mont-Royal,45.5297070760969,-73.5699812072198,Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.5271953631905,-73.5645255446434,1745249807526,1745250903555
Faillon / St-Denis,Villeray—Saint-Michel—Parc-Extension,45.5398908527814,-73.6202698945999,Marquette / des Carrières,Rosemont - La Petite-Patrie,45.5385945674416,-73.5886573791504,1745226625572,1745227491881
Cartier / Rosemont,Rosemont - La Petite-Patrie,45.541247223706,-73.5910445451737,Marmier / St-Denis,Rosemont - La Petite-Patrie,45.5308049540793,-73.5983964800835,1745241002037,1745241503289
LaSalle / Godin,Verdun,45.4469344848464,-73.572199344635,LaSalle / Godin,Verdun,45.4469344848464,-73.572199344635,1745251080543,1745252509616
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,45.5319579168264,-73.6070010066032,Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.5365054186122,-73.5680392384529,1745252732618,1745254102183
